batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
AJ Hosein,LH Ferguson,4,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AJ Hosein,MA Leask,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AJ Hosein,MJ Santner,3,-0.1667,0.0,0.6667,0.0,0.0,0.3333,0.0,0.6667,0.3333
AJ Hosein,PVD Chameera,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AJ Hosein,R Ngarava,3,0.0,0.0,0.3333,0.0,0.6667,0.0,0.3333,0.0,0.3333
AJ Hosein,RP Burl,3,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
AJ Hosein,SC Williams,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AJ Hosein,T Shamsi,3,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
AJ Hosein,TL Chatara,3,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AJ Hosein,TS Mills,7,0.1429,0.0,0.4286,0.0,0.5714,0.0,0.1429,0.2857,0.1429
AK Markram,A Bohara,3,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
AK Markram,A Zampa,8,0.4375,0.0,0.125,0.0,0.875,0.0,0.0,0.125,0.0
AK Markram,AD Mathews,6,-0.0833,0.0,0.8333,0.0,0.1667,0.0,0.1667,0.6667,0.1667
AK Markram,AD Russell,10,0.4,0.0,0.2,0.0,0.8,0.0,0.0,0.2,0.0
AK Markram,AJ Hosein,8,0.1875,0.0,0.375,0.0,0.625,0.0,0.125,0.25,0.125
AK Markram,AU Rashid,5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AK Markram,Ali Khan,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AK Markram,Arshdeep Singh,12,0.1667,0.0833,0.75,0.0833,0.1667,0.0,0.0,0.75,-0.0833
AK Markram,B Kumar,3,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AK Markram,BD Glover,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5
AK Markram,C Karunaratne,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AK Markram,CBRLS Kumara,3,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AK Markram,CJ Anderson,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AK Markram,CJ Jordan,6,0.3333,0.0,0.0,0.0,0.8333,0.1667,0.0,0.0,0.1667
AK Markram,CN Ackermann,4,0.0,0.0,0.25,0.0,0.5,0.5,0.0,0.0,0.5
AK Markram,CR Woakes,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AK Markram,DJ Bravo,6,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AK Markram,DS Airee,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AK Markram,FJ Klaassen,1,-0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
AK Markram,GJ Maxwell,7,0.2857,0.0,0.4286,0.0,0.5714,0.0,0.0,0.4286,0.0
AK Markram,HH Pandya,8,0.5,0.125,0.125,0.125,0.75,0.0,0.0,0.125,-0.125
AK Markram,HR Walsh,4,0.125,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.25
AK Markram,Haris Rauf,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AK Markram,Harmeet Singh,9,0.4444,0.0,0.1111,0.0,0.8889,0.0,0.0,0.1111,0.0
AK Markram,Hasan Mahmud,6,-0.0833,0.0,0.5,0.0,0.5,0.0,0.3333,0.1667,0.3333
AK Markram,JJ Bumrah,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AK Markram,JR Hazlewood,6,0.3333,0.1667,0.1667,0.1667,0.6667,0.0,0.1667,0.0,0.0
AK Markram,Jasdeep Singh,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AK Markram,K Bhurtel,4,0.0,0.0,0.5,0.0,0.5,0.0,0.25,0.25,0.25
AK Markram,KA Pollard,3,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
